Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot,Set Up
Basic Algorithms,Front Right,Free Pairs,F2L2_Front Right.png,F2L2,(F R' F' R),y' U' (R' U R),,,(R' F R F')
Basic Algorithms,Front Right,Free Pairs,F2L3_Front Right.png,F2L3,(F' U' F),y' (R' U' R),,,F' U F
Basic Algorithms,Front Right,Free Pairs,F2L4_Front Right.png,F2L4,(R U R'),y' (f R f'),,,(R U' R')
Basic Algorithms,Front Right,Disconnected Pairs,F2L5_Front Right.png,F2L5,(U' R U R') U2 (R U' R'),U' (R U R' U') (R U2 R'),,,(R U R') U2 (R U' R' U)
Basic Algorithms,Front Right,Disconnected Pairs,F2L6_Front Right.png,F2L6,U' r U' (R' U R) U r',y' (U R' U' R) U2 (R' U R),y F2 (R U R' U') F2,,r U' (R' U' R) U r' U
Basic Algorithms,Front Right,Disconnected Pairs,F2L7_Front Right.png,F2L7,U' (R U2 R' U') (R U2 R'),M' U' M U2 (r U' r'),,,(R U2 R') U (R U2 R') U
Basic Algorithms,Front Right,Disconnected Pairs,F2L8_Front Right.png,F2L8,d (R' U2 R) U (R' U2 R),r' U2 R2 U R2 U r,,,(R' U2 R) U' (R' U2 R) d'
Basic Algorithms,Front Right,Disconnected Pairs,F2L9_Front Right.png,F2L9,U' (R U' R' U) (F' U' F),F (R U R' U') F' (R U' R'),,,F' U F U' (R U R' U)
Basic Algorithms,Front Right,Disconnected Pairs,F2L10_Front Right.png,F2L10,U' (R U R' U) (R U R'),U2 (R U' R' U') (R U R'),,,(R U' R' U') (R U' R' U)
Basic Algorithms,Front Right,Disconnected Pairs,F2L11_Front Right.png,F2L11,U (R U2 R') (U R U' R'),U R U2 R2 F R F',,,(R U R' U') (R U2 R' U')
Basic Algorithms,Front Right,Disconnected Pairs,F2L12_Front Right.png,F2L12,y' U' R' U2 (R U' R' U) R,y U' (L' U2 L) (U' L' U L),,,R' (U' R U R') U2 R U y
Basic Algorithms,Front Right,Disconnected Pairs,F2L13_Front Right.png,F2L13,U2 (R U R') (U R U' R'),R U' (R' U2 R) U R',,,(R U R' U') (R U' R') U2
Basic Algorithms,Front Right,Disconnected Pairs,F2L14_Front Right.png,F2L14,(r U' r') U2 (r U r'),F' (L' U2 L) F,,,(r U' r') U2 (r U r')
Basic Algorithms,Front Right,Connected Pairs,F2L15_Front Right.png,F2L15,y' R U2 R2 U' R2 U' R',U' (R U2 R') U (F' U' F),,,R U R2 U R2 U2 R' y
Basic Algorithms,Front Right,Connected Pairs,F2L16_Front Right.png,F2L16,(R U' R') (U R U' R') U2 (R U' R'),R' U2 R2 U R2 U R,,,(R U R') U2 (R U R' U') (R U R')
Basic Algorithms,Front Right,Connected Pairs,F2L17_Front Right.png,F2L17,y' U R' (U R U' R') U' R,M' (U' R U R') U2 R U' r',,,R' U (R U R' U') R U' y
Basic Algorithms,Front Right,Connected Pairs,F2L18_Front Right.png,F2L18,U' (R U' R' U) (R U R'),(R U2 R') U2 R U (R' U2 R) U' R',,,(R U' R' U') (R U R' U)
Basic Algorithms,Front Right,Connected Pairs,F2L19_Front Right.png,F2L19,R' D' (R U' R') D R (U R U' R'),R U (R' U2 R) U' R' (U R U' R'),M U (r U' r') U' M',,(R U R' U') R' D' (R U R') D R
Basic Algorithms,Front Right,Connected Pairs,F2L20_Front Right.png,F2L20,(R U' R') U2 (F' U' F),(R U' R') U2 y' (R' U' R),U F (U R U' R') F' (R U R'),r U r' U r U2 r' U' r U' r',F' U F U2 (R U R')
Basic Algorithms,Front Right,Connected Pairs,F2L21_Front Right.png,F2L21,(R U2 R') (U' R U R'),y2 L U2 (L' U' L U) L',,,(R U' R' U) (R U2 R')
Basic Algorithms,Front Right,Connected Pairs,F2L22_Front Right.png,F2L22,y' R' U2 (R U R' U') R,(R' F R F') (R U' R') (U R U' R'),,,R' (U R U' R') U2 R y
Basic Algorithms,Front Right,Connected Pairs,F2L23_Front Right.png,F2L23,(U R U' R') (U' R U' R') (U R U' R'),U (F R' F' R) U (R U R'),U2 R2 U2 (R' U' R U') R2,,(R U R' U') (R U R' U) (R U R' U')
Basic Algorithms,Front Right,Connected Pairs,F2L24_Front Right.png,F2L24,F (U R U' R') F' (R U' R'),y' R' U' (R U2 R' U') (R U R' U') R,U' R U R2 F R F' (R U' R'),,(R U R') F (R U R' U') F'
Basic Algorithms,Front Right,Corner In Slot,F2L25_Front Right.png,F2L25,U' (R' F R F') (R U R'),R' F' R (U R U' R') F,,,(R U' R') (F R' F' R) U
Basic Algorithms,Front Right,Corner In Slot,F2L26_Front Right.png,F2L26,(U R U' R') (F R' F' R),R S' (R' U R) S R',,,(R' F R F') (R U R' U')
Basic Algorithms,Front Right,Corner In Slot,F2L27_Front Right.png,F2L27,(R U' R') (U R U' R'),(F' U' F) U2 (R U' R'),,,(R U R' U') (R U R')
Basic Algorithms,Front Right,Corner In Slot,F2L28_Front Right.png,F2L28,(R U R' U') (F R' F' R),y (L' U L) (U' L' U L),,,(R' F R F') (U R U' R')
Basic Algorithms,Front Right,Corner In Slot,F2L29_Front Right.png,F2L29,(R' F R F') (U R U' R'),y' R' U' (R U R' U') R,,,(R U R' U') (F R' F' R)
Basic Algorithms,Front Right,Corner In Slot,F2L30_Front Right.png,F2L30,(R U R' U') (R U R'),U' F R' F' R2 U R',,,(R U' R') (U R U' R')
Basic Algorithms,Front Right,Edge In Slot,F2L31_Front Right.png,F2L31,U' (R' F R F') (R U' R'),(R U' R' U) y' (R' U R),,,(R U R') (F R' F' R) U
Basic Algorithms,Front Right,Edge In Slot,F2L32_Front Right.png,F2L32,(U R U' R') (U R U' R') (U R U' R'),(R U R' U') (R U R' U') (R U R'),U' (F R' F' R) (U' R U R'),R2 U R2 U R2 U2 R2,(R U R' U') (R U R' U') (R U R' U')
Basic Algorithms,Front Right,Edge In Slot,F2L33_Front Right.png,F2L33,(U' R U' R') U2 (R U' R'),(R U R' U') (R U' R') (U R U' R'),,,(R U R') U2 (R U R' U)
Basic Algorithms,Front Right,Edge In Slot,F2L34_Front Right.png,F2L34,U R U (R' U2 R) U R',U' (R U2 R') U (R U R'),U R' D' (R U' R') D R,U' R' D' R U R' D R,(R U' R') U2 (R U' R' U')
Basic Algorithms,Front Right,Edge In Slot,F2L35_Front Right.png,F2L35,U' (R U R' U) (F' U' F),(U' R U R') d (R' U' R),U M' U R U' r' (R U' R'),,F' U F U' (R U' R' U)
Basic Algorithms,Front Right,Edge In Slot,F2L36_Front Right.png,F2L36,U (F' U' F) (U' R U R'),U2 (R' F R F') U2 (R U R'),,,(R U' R' U) F' U F U'
Basic Algorithms,Front Right,Pieces In Slot,F2L37_Front Right.png,F2L37,R2 U2 F R2 F' U2 R' U R',(R' F R F') (R U' R') (U R U' R') U2 (R U' R'),,,R U' R U2 F R2 F' U2 R2
