Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot,Set Up
Basic Algorithms,Back Left,Disconnected Pairs,F2L8_Back Left.png,F2L8,l' U2 L2 U L2 U l,y U (R' U2 R) U (R' U2 R),,,l' U' L2 U' L2 U2 l
Basic Algorithms,Back Left,Disconnected Pairs,F2L9_Back Left.png,F2L9,y U R' U' (R U' R' U') R,U' (L U' L' U) (f' L' f),,,R' U (R U R' U) R U' y'
Basic Algorithms,Back Left,Disconnected Pairs,F2L10_Back Left.png,F2L10,U' L U (L' U L U) L',U2 L U' (L' U' L U) L',,,L U' (L' U' L U') L' U
Basic Algorithms,Back Left,Disconnected Pairs,F2L11_Back Left.png,F2L11,U L U2 (L' U L U') L',L (U' L' U L) (U' L' U L) U L',,,L (U L' U' L) U2 L' U'
Basic Algorithms,Back Left,Disconnected Pairs,F2L12_Back Left.png,F2L12,y U' R' U2 (R U' R' U) R,U' L F U2 F' (L' U' L U) L',,,R' (U' R U R') U2 R U y'
Basic Algorithms,Back Left,Disconnected Pairs,F2L13_Back Left.png,F2L13,L U' (L' U2 L U) L',U2 L U (L' U L U') L',,,L U' (L' U2 L U) L'
Basic Algorithms,Back Left,Disconnected Pairs,F2L14_Back Left.png,F2L14,l U' l' U2 l U l',y R' U (R U2 R' U') R,,,l U' l' U2 l U l'
Basic Algorithms,Back Left,Connected Pairs,F2L15_Back Left.png,F2L15,U' (L U2 L') U (f' L' f),U' (L U2 L') d (L' U' L),,,(f' L f) U' (L U2 L') U
Basic Algorithms,Back Left,Connected Pairs,F2L16_Back Left.png,F2L16,L' U2 L2 U L2 U L,L (U' L' U L) U' (L' U2 L) U' L',,,L' U' L2 U' L2 U2 L
Basic Algorithms,Back Left,Connected Pairs,F2L17_Back Left.png,F2L17,d (L' U L U') (L' U' L),y U R' (U R U' R') U' R,,,(L' U L U) (L' U' L) d'
Basic Algorithms,Back Left,Connected Pairs,F2L18_Back Left.png,F2L18,U' L (U' L' U L) U L',U' L (U' L' U L) U' (L' U' L U') L',,,L U' (L' U' L U) L' U
Basic Algorithms,Back Left,Connected Pairs,F2L19_Back Left.png,F2L19,L U (L' U2 L) (U' L' U L) U' L',L U2 (L' U L U) (L' U L U') L',,,L U (L' U' L U) (L' U2 L) U' L'
Basic Algorithms,Back Left,Connected Pairs,F2L20_Back Left.png,F2L20,(L U' L') U2 (f' L' f),L2 F' L' F (L' U2 L) U' L',,,(f' L f) U2 (L U L')
Basic Algorithms,Back Left,Connected Pairs,F2L21_Back Left.png,F2L21,L U2 (L' U' L U) L',L (U L' U' L) U2 (L' U2 L U) L',,,L (U' L' U L) U2 L'
Basic Algorithms,Back Left,Connected Pairs,F2L22_Back Left.png,F2L22,y R' U2 (R U R' U') R,U F (U R U' R') F' (L U L'),,,R' (U R U' R') U2 R y'
Basic Algorithms,Back Left,Connected Pairs,F2L23_Back Left.png,F2L23,U L U' (L' U' L) (U' L' U L) U' L',L U (L' U2 L U) (L' U' L U) L',,,L U (L' U' L U) (L' U L U) L' U'
Basic Algorithms,Back Left,Connected Pairs,F2L24_Back Left.png,F2L24,U2 r (U R' U R) U2 B r',U2 F (U R U' R') F' U2 (L U' L'),,,r B' U2 (R' U' R U') r' U2
Basic Algorithms,Back Left,Corner In Slot,F2L25_Back Left.png,F2L25,R D' (R' U' R) D R' (L U L'),L U' (L' U' L) (U' L' U L) U L',,,(L U' L') R D' (R' U R) D R'
Basic Algorithms,Back Left,Corner In Slot,F2L26_Back Left.png,F2L26,L S (L' U L) S' L',F R2 u R u' R2 F',,,L S (L' U' L) S' L'
